時間戳記	lux1	lux2	led	dilution factor
2020/4/21 上午 7:47:44	0.49	0.97	0	1X
2020/4/21 上午 7:47:46	0.49	0.97	0	1X
2020/4/21 上午 7:47:47	0.49	0.97	0	1X
2020/4/21 上午 7:47:55	0.49	0.97	0	1X
2020/4/21 上午 7:47:57	0.49	0.97	0	1X
2020/4/21 上午 7:47:58	0.49	0.97	0	1X
2020/4/21 上午 7:48:00	0.49	0.97	0	1X
2020/4/21 上午 7:48:01	0.49	0.97	0	1X
2020/4/21 上午 7:48:02	0.49	0.97	0	1X
2020/4/21 上午 7:48:04	0.49	0.97	0	1X
2020/4/21 上午 7:48:06	0.49	0.97	0	1X
2020/4/21 上午 7:48:07	0.49	0.97	0	1X
2020/4/21 上午 7:48:09	0.49	0.97	0	1X
2020/4/21 上午 7:48:10	2.43	3.97	1	1X
2020/4/21 上午 7:48:12	2.95	3.97	1	1X
2020/4/21 上午 7:48:13	2.95	3.97	1	1X
2020/4/21 上午 7:48:15	2.95	3.97	1	1X
2020/4/21 上午 7:48:16	2.95	3.97	1	1X
2020/4/21 上午 7:48:18	2.95	3.97	1	1X
2020/4/21 上午 7:48:19	2.95	3.97	1	1X
2020/4/21 上午 7:48:21	2.95	3.97	1	1X
2020/4/21 上午 7:48:22	2.95	3.97	1	1X
2020/4/21 上午 7:48:24	2.95	3.97	1	1X
2020/4/21 上午 7:48:30	2.95	3.97	1	1X
2020/4/21 上午 7:48:31	2.95	5.47	2	1X
2020/4/21 上午 7:48:33	5.97	7.43	2	1X
2020/4/21 上午 7:48:34	5.97	7.43	2	1X
2020/4/21 上午 7:48:36	5.97	7.43	2	1X
2020/4/21 上午 7:48:37	5.97	7.43	2	1X
2020/4/21 上午 7:48:39	5.97	7.43	2	1X
2020/4/21 上午 7:48:40	5.97	7.43	2	1X
2020/4/21 上午 7:48:42	5.97	7.43	2	1X
2020/4/21 上午 7:48:43	5.97	7.43	2	1X
2020/4/21 上午 7:48:45	5.97	7.43	2	1X
2020/4/21 上午 7:48:46	5.97	7.43	2	1X
2020/4/21 上午 7:48:48	5.97	7.43	3	1X
2020/4/21 上午 7:48:49	8.44	10.89	3	1X
2020/4/21 上午 7:48:51	8.44	10.89	3	1X
2020/4/21 上午 7:48:52	8.44	10.89	3	1X
2020/4/21 上午 7:50:02	7.43	10.94	12	1X
2020/4/21 上午 7:50:03	7.43	10.94	0	1X
2020/4/21 上午 7:50:05	0	0	0	1X
2020/4/21 上午 7:50:06	0	0	0	1X
2020/4/21 上午 7:50:08	0	0	0	1X
2020/4/21 上午 7:50:09	2.43	2.95	1	1X
2020/4/21 上午 7:50:11	2.43	2.95	1	1X
2020/4/21 上午 7:50:12	2.92	2.95	1	1X
2020/4/21 上午 7:50:14	2.92	2.95	2	1X
2020/4/21 上午 7:50:15	4.97	6.41	2	1X
2020/4/21 上午 7:50:21	7.43	10.94	3	1X
2020/4/21 上午 7:50:23	7.43	10.94	3	1X
2020/4/21 上午 7:50:24	7.43	10.94	3	1X
2020/4/21 上午 7:50:26	7.43	10.94	4	1X
2020/4/21 上午 7:50:27	10.44	13.91	4	1X
2020/4/21 上午 7:50:29	10.44	14.41	4	1X
2020/4/21 上午 7:50:30	10.44	14.41	4	1X
2020/4/21 上午 7:50:33	12.9	17.88	5	1X
2020/4/21 上午 7:50:36	12.9	17.88	5	1X
2020/4/21 上午 7:50:35	12.9	17.37	5	1X
2020/4/21 上午 7:50:38	12.9	17.88	5	1X
2020/4/21 上午 7:50:39	12.9	17.88	5	1X
2020/4/21 上午 7:50:41	12.9	17.88	6	1X
2020/4/21 上午 7:50:42	15.91	21.34	6	1X
2020/4/21 上午 7:50:47	15.91	21.34	7	1X
2020/4/21 上午 7:50:48	18.38	25.35	7	1X
2020/4/21 上午 7:50:50	18.38	25.35	7	1X
2020/4/21 上午 7:50:51	18.38	25.35	7	1X
2020/4/21 上午 7:50:52	1182.74	1536.51	48	1X
2020/4/21 上午 7:50:53	18.38	25.35	7	1X
2020/4/21 上午 7:51:09	1185.19	1537	48	1X
2020/4/21 上午 7:51:11	26.85	35.75	10	1X
2020/4/21 上午 7:51:13	26.85	35.75	11	1X
2020/4/21 上午 7:51:17	29.32	39.22	11	1X
2020/4/21 上午 7:51:19	29.32	41.23	12	1X
2020/4/21 上午 7:51:20	31.79	43.23	12	1X
2020/4/21 上午 7:51:22	31.79	43.23	12	1X
2020/4/21 上午 7:51:23	31.79	43.23	12	1X
2020/4/21 上午 7:51:25	31.79	43.23	12	1X
2020/4/21 上午 7:51:26	31.79	43.23	12	1X
2020/4/21 上午 7:51:28	31.79	43.23	12	1X
2020/4/21 上午 7:51:29	31.79	43.23	12	1X
2020/4/21 上午 7:51:34	31.79	43.23	12	1X
2020/4/21 上午 7:51:35	31.79	43.23	13	1X
2020/4/21 上午 7:51:37	34.79	46.7	13	1X
2020/4/21 上午 7:51:38	34.79	46.7	13	1X
2020/4/21 上午 7:51:46	40.26	53.63	15	1X
2020/4/21 上午 7:51:47	40.26	53.63	15	1X
2020/4/21 上午 7:51:49	40.26	53.63	15	1X
2020/4/21 上午 7:51:52	42.73	57.09	16	1X
2020/4/21 上午 7:51:50	40.26	53.63	15	1X
2020/4/21 上午 7:51:58	45.73	61.11	17	1X
2020/4/21 上午 7:52:06	48.2	64.57	18	1X
2020/4/21 上午 7:52:13	50.67	68.04	20	1X
2020/4/21 上午 7:52:15	53.17	72.01	20	1X
2020/4/21 上午 7:52:16	53.17	72.01	20	1X
2020/4/21 上午 7:52:18	53.17	71.51	20	1X
2020/4/21 上午 7:52:32	59.14	79.49	22	1X
2020/4/21 上午 7:52:33	59.14	78.99	22	1X
2020/4/21 上午 7:52:35	59.14	78.99	22	1X
2020/4/21 上午 7:52:36	59.14	78.99	23	1X
2020/4/21 上午 7:52:38	61.11	82.95	23	1X
2020/4/21 上午 7:52:39	61.61	82.95	23	1X
2020/4/21 上午 7:52:43	50.7	68.04	19	1X
2020/4/21 上午 7:52:58	73.05	97.36	28	1X
2020/4/21 上午 7:53:00	74.52	100.83	28	1X
2020/4/21 上午 7:53:15	79.99	107.76	30	1X
2020/4/21 上午 7:53:17	79.99	107.76	30	1X
2020/4/21 上午 7:53:32	85.46	115.24	32	1X
2020/4/21 上午 7:53:34	85.46	115.74	32	1X
2020/4/21 上午 7:53:35	86.46	116.7	33	1X
2020/4/21 上午 7:53:42	88.46	119.21	34	1X
2020/4/21 上午 7:53:43	90.93	122.67	34	1X
2020/4/21 上午 7:53:45	90.93	122.67	34	1X
2020/4/21 上午 7:54:11	101.87	137.08	38	1X
2020/4/21 上午 7:54:12	101.87	137.08	38	1X
2020/4/21 上午 7:54:14	104.34	140.55	39	1X
2020/4/21 上午 7:54:16	104.34	140.55	39	1X
2020/4/21 上午 7:54:18	104.34	141.05	39	1X
2020/4/21 上午 7:54:23	107.34	144.01	40	1X
2020/4/21 上午 7:54:43	15.91	21.34	6	1X
2020/4/21 上午 7:54:45	112.81	152.5	42	1X
2020/4/21 上午 7:54:47	115.28	155.46	43	1X
2020/4/21 上午 7:55:18	142.1	192.22	53	1X
2020/4/21 上午 7:55:20	142.14	192.22	53	1X
2020/4/21 上午 7:55:22	144.6	195.18	54	1X
2020/4/21 上午 7:55:39	153.04	207.59	58	1X
2020/4/21 上午 7:55:41	155.55	210.6	58	1X
2020/4/21 上午 7:55:42	155.55	209.59	58	1X
2020/4/21 上午 7:55:44	156.05	210.6	59	1X
2020/4/21 上午 7:55:45	158.51	214.06	59	1X
2020/4/21 上午 7:55:53	163.48	220.99	61	1X
2020/4/21 上午 7:55:55	166.49	224.51	62	1X
2020/4/21 上午 7:55:57	166.95	225.01	63	1X
2020/4/21 上午 7:55:59	168.95	228.47	63	1X
2020/4/21 上午 7:56:08	176.89	238.87	66	1X
2020/4/21 上午 7:56:09	176.89	239.37	67	1X
2020/4/21 上午 7:56:11	179.9	243.39	67	1X
2020/4/21 上午 7:56:13	180.9	242.84	68	1X
2020/4/21 上午 7:56:15	182.36	246.35	68	1X
2020/4/21 上午 7:56:19	182.36	246.85	69	1X
2020/4/21 上午 7:56:22	185.87	250.32	70	1X
